Azerbaijan, 24950, 152.31
Italy, 24950, 63.20
Ukraine, 24950, 323.54
Germany, 24950, 199.53
Australia, 24950, 133.13
Vanuatu, 24950, 162.61
Bulgaria, 24950, 286.82
Mongolia, 24950, 329.56
Armenia, 24950, 219.09
Yemen, 24950, 146.32
Bahamas, 24950, 172.26
Trinidad & Tobago, 24950, 135.13
Spain, 24950, 259.31
Russian Federation, 24950, 262.95
Djibouti, 24950, 337.44
Ethiopia, 24950, 311.95
Eswatini, 24950, 233.95
Slovakia, 24950, 104.28
Aruba, 24950, 297.11
Nepal, 24950, 72.76
India, 24950, 222.80
Gambia, 24950, 215.20
Israel, 24950, 160.19
Kosovo, 24950, 250.01
Burkina Faso, 24950, 312.91
Barbados, 24950, 281.53
Algeria, 24950, 208.81
Afghanistan, 24950, 175.97
Albania, 24950, 169.09
San Marino, 24950, 295.90
Costa Rica, 24950, 63.39
Marshall Islands, 24950, 64.82
Iceland, 24950, 120.49
Kuwait, 24950, 124.13
Japan, 24950, 24.18
Canada, 24950, 141.65
Oman, 24950, 210.09
Liberia, 24950, 267.86
Vietnam, 24950, 135.25
Taiwan, 24950, 51.14
Bhutan, 24950, 43.52
Indonesia, 24950, 229.07
Antigua and Barbuda, 24950, 216.57
Colombia, 24950, 276.49
France, 24950, 143.84
Iraq, 24950, 221.13
Uruguay, 24950, 14.73
Benin, 24950, 253.99
Cuba, 24950, 112.05
Myanmar, 24950, 10.82
South Africa, 24950, 96.48
Bahrain, 24950, 156.79
Brazil, 24950, 198.18
Congo, 24950, 308.05
Guatemala, 24950, 14.12
Guinea-Bissau, 24950, 50.10
Austria, 24950, 272.02
Slovenia, 24950, 160.21
Comoros, 24950, 265.34
Serbia, 24950, 114.61
China, 24950, 176.97
Belarus, 24950, 27.70
Dominica, 24950, 316.47
Madagascar, 24950, 227.95
Chile, 24950, 43.49
Denmark, 24950, 65.24
Tajikistan, 24950, 195.02
Angola, 24950, 307.14
Nicaragua, 24950, 285.75
Georgia, 24950, 336.65
Argentina, 24950, 213.99
Bangladesh, 24950, 29.62
Moldova, 24950, 185.90
Costa Rica, 9913, 318.67
Burkina Faso, 5725, 336.51
Taiwan, 13553, 59.01
Italy, 26899, 116.46
Cuba, 32445, 262.01
Georgia, 23541, 41.32
Nepal, 9439, 106.95
Belarus, 12094, 261.55
Barbados, 12088, 274.95
Austria, 1127, 12.73
Burkina Faso, 14037, 121.16
Marshall Islands, 15163, 309.26
Algeria, 780, 117.52
Brazil, 14585, 222.30
Kuwait, 13098, 112.91
South Africa, 1666, 241.13
Bangladesh, 5806, 277.60
Denmark, 21432, 74.90
Serbia, 21503, 143.83
Canada, 7584, 171.13
Bhutan, 542, 296.76
Yemen, 16870, 69.47
Costa Rica, 29650, 254.70
Bulgaria, 1482, 16.31
Albania, 13095, 330.12
Congo, 20393, 30.07
Brazil, 8805, 264.23
Madagascar, 22942, 53.90
Bangladesh, 29651, 72.47
Afghanistan, 18672, 286.55
Canada, 15313, 206.08
India, 10556, 306.59
Chile, 22833, 160.71
Bangladesh, 7079, 224.36
Slovenia, 24037, 41.84
India, 27013, 138.24
Mongolia, 5706, 184.78
Bangladesh, 26399, 255.03
Burkina Faso, 22468, 73.70
Guatemala, 32433, 261.93
Bahrain, 28512, 55.52
Vanuatu, 9399, 315.96
Bulgaria, 28605, 39.23
Georgia, 11798, 22.74
Comoros, 18793, 172.43
Nicaragua, 21967, 296.00
Nepal, 7021, 277.96
Bangladesh, 822, 21.45
Slovakia, 4555, 258.35
Brazil, 25326, 82.75
San Marino, 1555, 330.82
Yemen, 29706, 320.17
France, 31320, 168.58
Australia, 6192, 40.63
Georgia, 306, 328.13
Burkina Faso, 20622, 36.31
Russian Federation, 17804, 247.43
France, 27382, 270.97
Moldova, 15213, 199.60
Taiwan, 18829, 34.65
Antigua and Barbuda, 7941, 280.06
Spain, 29896, 118.55
Oman, 22942, 95.93
Guatemala, 6829, 105.87
Guinea-Bissau, 15426, 183.12
Indonesia, 20366, 208.03
Chile, 20023, 332.25
Congo, 9149, 205.88
Burkina Faso, 16799, 171.31
Albania, 16111, 282.64
Iraq, 2781, 310.84
Trinidad & Tobago, 32061, 93.21
Israel, 10128, 266.60
Congo, 21256, 43.79
Algeria, 26690, 303.96
Yemen, 21550, 57.61
Marshall Islands, 7197, 163.95
Guatemala, 28752, 196.20
Nicaragua, 24643, 311.22
Djibouti, 6427, 26.25
Belarus, 7325, 303.43
Serbia, 26826, 83.66
Trinidad & Tobago, 30273, 200.22
Kosovo, 20071, 68.32
Congo, 17334, 247.31
Yemen, 4717, 261.15
Kuwait, 27076, 259.92
Vanuatu, 472, 239.82
South Africa, 1940, 127.21
Mongolia, 1744, 162.67
China, 3917, 149.59
Yemen, 15716, 167.77
Tajikistan, 25705, 276.86
Chile, 30745, 193.34
Germany, 27514, 288.02
India, 31547, 248.00
Slovakia, 12068, 228.05
Myanmar, 18215, 43.61
Slovakia, 27744, 61.33
Guinea-Bissau, 26900, 268.12
Denmark, 3188, 49.67
Colombia, 18173, 260.38
Slovenia, 23845, 170.94
Ukraine, 1723, 278.84
Russian Federation, 18431, 292.10
Nicaragua, 22898, 183.67
Colombia, 28636, 223.11
Burkina Faso, 27610, 180.81
Vanuatu, 2015, 240.17
India, 20758, 266.52
Brazil, 31140, 192.45
Bulgaria, 16647, 228.57
Nepal, 6237, 239.64
Madagascar, 17510, 248.43
Cuba, 15619, 137.53
Chile, 14351, 229.59
Congo, 19440, 263.77
Cuba, 15924, 217.04
Indonesia, 24191, 247.43
Slovenia, 3968, 295.23
Bhutan, 11128, 157.22
Aruba, 30544, 288.14
Indonesia, 24445, 184.85
Yemen, 28028, 266.31
Costa Rica, 29366, 277.52
Bulgaria, 1402, 40.45
Guatemala, 15199, 132.37
Oman, 7612, 14.82
Spain, 5391, 106.96
