Serbia, 26579, 1248.90
Guatemala, 21224, 2232.21
Bangladesh, 1425, 9208.13
Iraq, 15433, 839.65
Trinidad & Tobago, 16903, 2535.56
Japan, 1764, 8172.64
Bahrain, 10993, 1428.05
Iraq, 17443, 3569.53
Afghanistan, 4245, 2796.50
Ethiopia, 24338, 8006.00
Madagascar, 8311, 5371.95
Bhutan, 9118, 5478.77
China, 19383, 2400.67
Bulgaria, 30687, 9227.05
Taiwan, 17115, 2115.63
Bahrain, 7581, 86.45
Iceland, 3891, 1594.37
Dominica, 16781, 8194.92
Germany, 5665, 3603.71
Argentina, 27383, 1155.82
Barbados, 11499, 4890.37
Angola, 22978, 2897.21
South Africa, 25559, 4311.74
Trinidad & Tobago, 23075, 9021.66
Comoros, 26053, 6488.93
Antigua & Deps, 23636, 7763.69
Marshall Islands, 17804, 7539.38
South Africa, 1063, 1934.65
Eswatini, 25789, 176.48
Italy, 14162, 7714.86
Russian Federation, 22419, 2270.05
Bangladesh, 17090, 2118.98
Bahamas, 22599, 2131.19
Chile, 20054, 3641.86
Angola, 4089, 1533.03
Ethiopia, 21463, 1215.94
South Africa, 17897, 77.30
Israel, 30985, 6497.17
Spain, 30147, 8209.87
Albania, 22044, 4816.52
China, 29721, 7223.51
Israel, 10486, 2183.99
Canada, 13420, 9213.93
Antigua & Deps, 2819, 760.30
Madagascar, 1620, 4425.27
Mongolia, 17043, 4437.78
Indonesia, 18334, 3994.35
South Africa, 2537, 892.14
Comoros, 10111, 9007.62
Congo, 30092, 7880.57
Myanmar, 15150, 8288.00
Bangladesh, 20605, 962.94
Cuba, 24193, 3683.36
Slovenia, 8273, 8439.67
China, 15197, 9062.86
Tajikistan, 23666, 8363.99
Chile, 26912, 4009.61
Georgia, 2787, 3318.06
Ethiopia, 29005, 1594.68
Moldova, 14951, 2377.17
Costa Rica, 14620, 7813.74
Colombia, 1243, 7701.74
Mongolia, 26561, 4606.85
Azerbaijan, 13845, 6637.56
Israel, 28553, 5031.67
Yemen, 12987, 391.94
Barbados, 29721, 4412.76
Bahamas, 6075, 8485.76
Oman, 29297, 1393.25
Nepal, 5752, 5555.06
Marshall Islands, 24460, 4003.20
Slovenia, 6854, 4905.02
Argentina, 30890, 4392.61
Eswatini, 8006, 2766.59
Nepal, 19623, 8011.19
Guatemala, 2501, 9727.25
Benin, 10228, 4981.62
Algeria, 19622, 2549.30
Kuwait, 5381, 9491.65
Afghanistan, 11147, 1793.66
Kosovo, 8534, 3422.43
Brazil, 12461, 9585.03
Mongolia, 6992, 9457.46
Comoros, 28069, 8766.53
Colombia, 6073, 2738.82
Trinidad & Tobago, 23958, 787.77
Colombia, 19831, 5104.92
Iraq, 30718, 6263.70
Belarus, 19653, 8202.54
Djibouti, 2699, 431.62
Oman, 21296, 7670.00
Mongolia, 5583, 7020.87
Bahrain, 4091, 6291.48
Azerbaijan, 31663, 9513.62
Congo, 9392, 5848.96
Moldova, 8140, 9756.55
Denmark, 7187, 1558.66
Bahrain, 31086, 1542.49
Congo, 1449, 5724.75
Chile, 21389, 2431.80
Afghanistan, 28311, 4850.09
Dominica, 25352, 1945.03
Kuwait, 8324, 3132.50
Armenia, 17466, 9594.80
Guinea-Bissau, 30143, 1303.84
Comoros, 10331, 3266.48
